Team,Running Backs,Wide Receivers,Tight Ends,Depth
Arizona Cardinals,James Conner,Marvin Harrison Jr.,Trey McBride,1
Arizona Cardinals,Trey Benson,Michael Wilson,Elijah Higgins,2
Arizona Cardinals,Emari Demercado,Zay Jones,Tip Reiman,3
Atlanta Falcons,Bijan Robinson,Drake London,Kyle Pitts Sr.,1
Atlanta Falcons,Tyler Allgeier,Darnell Mooney,Charlie Woerner,2
Atlanta Falcons,Carlos Washington Jr.,Ray-Ray McCloud III,Teagan Quitoriano,3
Baltimore Ravens,Derrick Henry,Zay Flowers,Mark Andrews,1
Baltimore Ravens,Keaton Mitchell,Rashod Bateman,Isaiah Likely,2
Baltimore Ravens,Justice Hill,DeAndre Hopkins,Charlie Kolar,3
Buffalo Bills,James Cook,Keon Coleman,Dalton Kincaid,1
Buffalo Bills,Ray Davis,Khalil Shakir,Dawson Knox,2
Buffalo Bills,Ty Johnson,Joshua Palmer,Jackson Hawes,3
Carolina Panthers,Chuba Hubbard,Tetairoa McMillan,Ja'Tavion Sanders,1
Carolina Panthers,Rico Dowdle,Xavier Legette,Tommy Tremble,2
Carolina Panthers,Trevor Etienne,Jalen Coker,Mitchell Evans,3
Chicago Bears,D'Andre Swift,DJ Moore,Colston Loveland,1
Chicago Bears,Roschon Johnson,Rome Odunze,Cole Kmet,2
Cincinnatti Bengals,Chase Brown,Ja'Marr Chase,Mike Gesicki,1
Cincinnatti Bengals,Tahj Brooks,Tee Higgins,Noah Fant,2
Cincinnatti Bengals,Samaje Perine,Andrei Iosivas,Tanner Hudson,3
Cincinnatti Bengals,Gary Brightwell,Jermaine Burton,Drew Sample,4
Cleveland Browns,Quinshon Judkins,Jerry Jeudy,David Njoku,1
Cleveland Browns,Dylan Sampson,Cedric Tillman,Harold Fannin Jr.,2
Cleveland Browns,Jerome Ford,Isaiah Bond,Blake Whiteheart,3
Cleveland Browns,Raheim Sanders,Jamari Thrash,Brenden Bates,4
Dallas Cowboys,Javonte Williams,CeeDee Lamb,Jake Ferguson,1
Dallas Cowboys,Jaydon Blue,George Pickens,Luke Schoonmaker,2
Dallas Cowboys,Miles Sanders,Jalen Tolbert,Brevyn Spann-Ford,3
Denver Broncos,RJ Harvey,Courtland Sutton,Evan Engram,1
Denver Broncos,J.K. Dobbins,Marvin Mims Jr.,Adam Trautman,2
Denver Broncos,Jaleel McLaughlin,Pat Bryant,Lucas Krull,3
Detroit Lions,Jahmyr Gibbs,Amon-Ra St. Brown,Sam LaPorta,1
Detroit Lions,David Montgomery,Jameson Williams,Brock Wright,2
Detroit Lions,Craig Reynolds,Isaac TeSlaa,Kenny Yeboah,3
Detroit Lions,Sione Vaki,Kalif Raymond,Shane Zylstra,4
Green Bay Packers,Josh Jacobs,Matthew Golden,Tucker Kraft,1
Green Bay Packers,MarShawn Lloyd,Jayden Reed,Luke Musgrave,2
Green Bay Packers,Emanuel Wilson,Romeo Doubs,Ben Sims,3
Houston Texans,Nick Chubb,Nico Collins,Dalton Schultz,1
Houston Texans,Joe Mixon,Christian Kirk,Cade Stover,2
Houston Texans,Woody Marks,Jayden Higgins,Harrison Bryant,3
Indianapolis Colts,Jonathan Taylor,Josh Downs,Tyler Warren,1
Indianapolis Colts,DJ Giddens,Michael Pittman Jr.,Mo Alie-Cox,2
Indianapolis Colts,Tyler Goodson,Alec Pierce,Drew Ogletree,3
Jacksonville Jaguars,Travis Etienne Jr.,Brian Thomas Jr.,Brenton Strange,1
Jacksonville Jaguars,Tank Bigsby,Travis Hunter,Johnny Mundt,2
Jacksonville Jaguars,Bhayshul Tuten,Dyami Brown,Hunter Long,3
Kansas City Chiefs,Isiah Pacheco,Xavier Worthy,Travis Kelce,1
Kansas City Chiefs,Kareem Hunt,Rashee Rice,Noah Gray,2
Kansas City Chiefs,Brashard Smith,Marquise Brown,Jared Wiley,3
Los Angeles Chargers,Omarion Hampton,Ladd McConkey,Oronde Gadsden II,1
Los Angeles Chargers,Najee Harris,Tre' Harris,Will Dissly,2
Los Angeles Chargers,Kimani Vidal,Keenan Allen,Tyler Conklin,3
Los Angeles Rams,Kyren Williams,Puka Nacua,Terrance Ferguson,1
Los Angeles Rams,Blake Corum,Davante Adams,Tyler Higbee,2
Los Angeles Rams,Jarquez Hunter,Tutu Atwell,Colby Parkinson,3
Las Vegas Raiders,Ashton Jeanty,Jakobi Meyers,Brock Bowers,1
Las Vegas Raiders,Raheem Mostert,Jack Bech,Michael Mayer,2
Las Vegas Raiders,Zamir White,Dont'e Thornton Jr.,Ian Thomas,3
Miami Dolphins,De'Von Achane,Tyreek Hill,Darren Waller,1
Miami Dolphins,Jaylen Wright,Jaylen Waddle,Julian Hill,2
Miami Dolphins,Ollie Gordon II,Malik Washington,Greg Dulcich,3
Minnesota Vikings,Aaron Jones Sr.,Justin Jefferson,T.J. Hockenson,1
Minnesota Vikings,Jordan Mason,Jordan Addison,Josh Oliver,2
Minnesota Vikings,Ty Chandler,Adam Thielen,Gavin Bartholomew,3
New England Patriots,TreVeyon Henderson,Stefon Diggs,Hunter Henry,1
New England Patriots,Rhamondre Stevenson,Kyle Williams,Austin Hooper,2
New England Patriots,Antonio Gibson,DeMario Douglas,,3
New Orleans Saints,Alvin Kamara,Chris Olave,Juwan Johnson,1
New Orleans Saints,Kendre Miller,Rashid Shaheed,Taysom Hill,2
New Orleans Saints,Devin Neal,Devaughn Vele,Foster Moreau,3
New York Giants,Tyrone Tracy Jr.,Malik Nabers,Theo Johnson,1
New York Giants,Cam Skattebo,Wan'Dale Robinson,Daniel Bellinger,2
New York Giants,Devin Singletary,Darius Slayton,Thomas Fidone II,3
New York Jets,Breece Hall,Garrett Wilson,Mason Taylor,1
New York Jets,Braelon Allen,Josh Reynolds,Jeremy Ruckert,2
New York Jets,Isaiah Davis,Allen Lazard,Stone Smartt,3
Philadelphia Eagles,Saquon Barkley,A.J. Brown,Dallas Goedert,1
Philadelphia Eagles,Will Shipley,DeVonta Smith,Grant Calcaterra,2
Philadelphia Eagles,A.J. Dillon,John Metchie III,Kylen Granson,3
Pittsburgh Steelers,Kaleb Johnson,DK Metcalf,Jonnu Smith,1
Pittsburgh Steelers,Jaylen Warren,Calvin Austin III,Pat Freiermuth,2
Pittsburgh Steelers,Kenneth Gainwell,Roman Wilson,Darnell Washington,3
Seattle Seahawks,Kenneth Walker III,Jaxon Smith-Njigba,Elijah Arroyo,1
Seattle Seahawks,Zach Charbonnet,Cooper Kupp,AJ Barner,2
Seattle Seahawks,Damien Martinez,Tory Horton,Eric Saubert,3
San Francisco 49ers,Christian McCaffrey,Ricky Pearsall,George Kittle,1
San Francisco 49ers,Brian Robinson Jr.,Jauan Jennings,Luke Farrell,2
San Francisco 49ers,Isaac Guerendo,Brandon Aiyuk,Brayden Willis,3
Tampa Bay Buccaneers,Bucky Irving,Mike Evans,Cade Otton,1
Tampa Bay Buccaneers,Rachaad White,Emeka Egbuka,Payne Durham,2
Tampa Bay Buccaneers,Sean Tucker,Chris Godwin Jr.,Devin Culp,3
Tennessee Titans,Tony Pollard,Calvin Ridley,Chig Okonkwo,1
Tennessee Titans,Tyjae Spears,Elic Ayomanor,Gunnar Helm,2
Tennessee Titans,Kalel Mullings,Tyler Lockett,,3
Washington Commanders,Jacory Croskey-Merritt,Terry McLaurin,Zach Ertz,1
Washington Commanders,Austin Ekeler,Deebo Samuel Sr.,Ben Sinnott,2
Washington Commanders,Chris Rodriguez Jr.,Luke McCaffrey,John Bates,3
